name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Andy Knox,1867,21,75,6,19,3,0,0,8,5,2,9,37,1890,0.253333333,0.333333333,0.293333333,0.626666667
Andy Kosco,1942,658,1963,204,464,75,8,73,267,5,8,99,350,1974,0.236372899,0.273035887,0.394294447,0.667330335
Andy LaRoche,1985,404,1184,133,267,53,6,22,113,8,3,121,208,2013,0.225506757,0.297318008,0.336148649,0.633466656
Andy Leonard,1854,215,970,155,259,26,7,1,87,22,9,20,41,1880,0.267010309,0.281818182,0.311340206,0.593158388
Andy Love,1917,65,215,22,42,7,1,3,24,5,7,10,113,1943,0.195348837,0.231111111,0.279069767,0.510180879
Andy Marte,1985,308,854,86,186,45,6,21,99,1,6,67,180,2014,0.217798595,0.274701412,0.358313817,0.633015229
Andy Mota,1968,27,90,4,17,2,0,1,6,2,0,1,17,1991,0.188888889,0.197802198,0.244444444,0.442246642
Andy Oyler,1879,27,77,9,17,1,0,1,6,3,2,8,37,1902,0.220779221,0.294117647,0.272727273,0.56684492
Andy Pafko,1920,1852,6292,844,1796,264,62,213,976,38,31,561,477,1959,0.285441831,0.343936962,0.448664971,0.792601933
Andy Pages,2001,116,403,65,100,23,1,13,46,1,2,29,108,2024,0.248138958,0.298611111,0.406947891,0.705559002
Andy Parrino,1988,131,246,19,43,11,0,2,14,2,0,33,83,2015,0.174796748,0.272401434,0.243902439,0.516303873
Andy Phillips,1981,259,557,77,139,25,4,14,70,3,5,34,110,2008,0.249551167,0.292724196,0.384201077,0.676925273
Andy Reese,1904,331,1142,166,321,47,11,14,111,21,9,51,107,1930,0.281085814,0.311818944,0.378283713,0.690102657
Andy Seminick,1920,1304,3921,495,953,139,26,164,556,23,25,582,780,1957,0.243050242,0.340883855,0.4172405,0.758124355
Andy Sheets,1973,356,960,118,207,38,3,19,113,16,7,76,275,2002,0.215625,0.273166023,0.320833333,0.593999356
Andy Spognardi,1909,17,34,9,10,1,0,0,1,0,0,6,6,1932,0.294117647,0.4,0.323529412,0.723529412
