name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
이명기,1987,1037,3624,574,1104,166,28,28,327,108,60,324,556,2024,0.305,0.362,0.389,0.751
이명수,1966,1221,3504,383,953,140,21,61,423,28,39,426,502,2001,0.272,0.351,0.376,0.727
이민재,1988,35,44,6,9,1,0,0,4,0,1,1,12,2015,0.205,0.222,0.227,0.449
이민호,1969,556,1369,168,330,63,6,51,167,19,15,130,358,2000,0.241,0.307,0.408,0.714
이범호,1981,2001,6370,954,1727,334,12,329,1127,49,29,863,1158,2019,0.271,0.358,0.482,0.84
이병규,1974,1741,6571,992,2043,371,38,161,972,147,66,526,838,2016,0.311,0.362,0.452,0.814
이병규,1983,835,2232,344,621,117,11,75,366,30,24,398,615,2021,0.278,0.387,0.441,0.829
이병규,1994,31,55,10,11,1,1,0,7,1,0,2,15,2023,0.2,0.228,0.255,0.483
이병훈,1967,516,1317,136,352,41,2,38,169,8,8,87,173,1996,0.267,0.313,0.388,0.701
이보형,1972,80,115,8,18,6,1,2,13,3,1,13,39,1997,0.157,0.242,0.278,0.52
이복근,1962,267,448,37,94,20,2,6,45,2,5,41,124,1991,0.21,0.276,0.304,0.58
이봉우,1977,158,140,18,23,5,1,2,8,7,3,3,30,1998,0.164,0.182,0.257,0.439
이상대,1967,350,832,85,198,33,8,5,64,8,8,62,127,1994,0.238,0.291,0.315,0.606
이상호,1989,775,1101,199,291,34,1,1,80,85,28,46,117,2023,0.264,0.294,0.3,0.594
이상훈,1987,88,142,16,24,1,0,2,4,6,1,12,28,2016,0.169,0.234,0.218,0.452
이석규,1957,72,109,12,18,3,0,2,8,1,0,15,22,1986,0.165,0.266,0.248,0.514
이선웅,1961,879,2633,223,666,102,7,23,282,35,25,233,250,1992,0.253,0.314,0.323,0.637
이성곤,1992,203,483,45,117,28,2,6,47,3,4,61,145,2023,0.242,0.327,0.346,0.673
이성근,1962,19,40,5,9,2,0,0,5,0,0,1,9,1988,0.225,0.244,0.275,0.519
이성득,1953,51,116,6,22,1,0,0,2,2,2,12,8,1982,0.19,0.266,0.198,0.464
이성수,1960,57,85,12,16,3,1,0,8,6,4,7,12,1986,0.188,0.25,0.247,0.497
이성열,1984,1506,4134,588,1047,187,17,190,698,63,40,369,1359,2021,0.253,0.314,0.445,0.759
이성우,1981,620,821,62,182,27,0,7,75,4,0,46,137,2021,0.222,0.263,0.28,0.543
이순철,1961,1388,4775,768,1252,217,30,145,612,371,145,544,689,1998,0.262,0.338,0.411,0.749
