name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
김대진,1955,275,568,61,135,17,2,8,180,46,5,2,52,14,77,8,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82798.jpg,1983,1987,0.238,0.302,0.317,0.619
김대한,2000,164,267,37,49,10,2,6,81,25,4,5,23,9,83,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69238.jpg,2019,2024,0.184,0.248,0.303,0.552
김도환,2000,130,185,10,35,10,0,2,51,17,0,1,16,2,73,0,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69442.jpg,2019,2024,0.189,0.254,0.276,0.529
김동건,1982,76,98,8,16,1,1,2,25,7,0,0,6,2,31,3,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71806.jpg,2001,2013,0.163,0.212,0.255,0.467
김동기,1964,1019,3101,422,812,166,9,108,1320,435,34,34,414,60,583,94,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86312.jpg,1986,1996,0.262,0.349,0.426,0.774
김동수,1968,2039,5915,741,1556,286,28,202,2504,871,56,48,661,130,821,132,20,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90419.jpg,1990,2009,0.263,0.337,0.423,0.76
김동엽,1990,657,2028,260,543,88,2,92,911,316,24,17,114,27,435,49,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66838.jpg,2016,2024,0.268,0.307,0.449,0.756
김동욱,1988,142,311,42,77,12,0,7,110,32,2,1,24,5,78,10,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77462.jpg,2007,2018,0.248,0.301,0.354,0.655
김동은,1990,55,85,9,26,2,0,0,28,5,4,1,12,1,20,3,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60496.jpg,2015,2016,0.306,0.392,0.329,0.721
김동재,1960,585,1326,166,347,63,8,30,516,166,27,26,106,26,176,33,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83411.jpg,1983,1993,0.262,0.316,0.389,0.705
김동주,1976,1625,5540,851,1710,293,12,273,2846,1097,48,27,814,147,794,186,16,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/98218.jpg,1998,2013,0.309,0.397,0.514,0.911
김동진,1996,79,163,19,37,8,0,1,48,10,3,0,12,1,38,5,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51403.jpg,2022,2024,0.227,0.28,0.294,0.574
김동한,1988,374,542,90,132,37,1,6,189,48,32,11,42,0,89,7,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61204.jpg,2012,2020,0.244,0.298,0.349,0.647
김만후,1964,202,538,64,139,23,3,8,192,59,12,3,50,8,57,25,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/87610.jpg,1987,1992,0.258,0.321,0.357,0.678
김명구,1961,122,94,6,16,0,0,1,19,5,2,1,9,0,15,0,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83700.jpg,1984,1988,0.17,0.243,0.202,0.445
김명성,1961,92,134,16,23,3,1,0,28,7,2,6,15,1,21,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/84799.jpg,1985,1986,0.172,0.255,0.209,0.464
김무관,1955,123,326,35,65,12,0,1,80,20,6,7,26,8,45,9,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96473.jpg,1982,1985,0.199,0.259,0.245,0.504
김무종,1954,445,1357,137,326,62,6,41,523,192,4,11,115,13,187,35,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83800.jpg,1983,1988,0.24,0.3,0.385,0.685
김문영,1960,192,283,24,53,10,0,1,66,19,4,4,16,1,47,8,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82777.jpg,1983,1988,0.187,0.231,0.233,0.464
김문호,1987,703,1946,251,548,98,8,20,722,208,46,34,205,37,387,39,13,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76509.jpg,2006,2020,0.282,0.35,0.371,0.721
김미호,1967,170,257,28,59,12,1,0,73,13,9,3,15,3,51,5,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92511.jpg,1992,1997,0.23,0.272,0.284,0.556
김민수,1991,160,248,25,49,8,0,4,69,27,0,0,13,1,68,4,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64793.jpg,2014,2024,0.198,0.238,0.278,0.516
김민식,1989,866,1981,239,448,66,8,25,605,224,11,6,240,23,399,37,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62864.jpg,2015,2024,0.226,0.31,0.305,0.615
김민우,1979,704,1886,254,464,86,8,32,662,183,83,26,229,19,457,32,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72303.jpg,2002,2016,0.246,0.328,0.351,0.679
김민재,1973,2113,6088,696,1503,244,29,71,2018,607,174,90,473,97,739,145,19,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/91523.jpg,1991,2009,0.247,0.301,0.331,0.633
