plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
청년 채무조정 제공,소득원이 없거나 불안정하여 채무상환에 어려움을 겪는 대학생 및 미취업청년의 채무조정을 지원,"1. 사전채무조정
 - (신청대상) 연체 31일 이상 89일 이하
 - (분할상환) 최장 10년 원리금분할상환
 - (이자율조정) 약정이자율 70% 인하
 - (채무감면) 연체이자 전액 감면
 - (상환전유예) 최장 3년 상환유예
 - (유예이자)상환유예기간 이자 납입(연2%)

2. 개인워크아웃
 - (신청대상) 연체 90일 이상
 - (분할상환) 최장 10년 원금분할상환
 - (이자율조정) 이자 전액 감면
 - (채무감면) 이자·연체이자 전액 감면
                   미상각채권 원금 0~30% 감면, 상각채권 원금 최대 70% 감면
 - (상환전유예) 대학생인 경우, 재학기간 상환유예 및 종업 후 취업시까지 최장 4년 상환유예
                      미취업청년인 경우, 취업시까지 최장 5년 상환유예
 - (유예이자) 상환유예기간 이자 납입 면체",,https://cyber.ccrs.or.kr/,0,34,복지문화,취약계층 및 금융지원
청년 SW개발자 커뮤니티 지원 및 멘토단 구성,SW개발자 기술공유·소통·협업의 場인 커뮤니티 활동 지원과 청년 SW개발자 멘토단을 구성·운영하여 청년 SW개발자의 역량 강화 유도,"청년 SW 개발자 중심의 커뮤니티 활성화 지원 및 멘토단 운영
   - (커뮤니티 지원) SW개발자 커뮤니티 활동에 필요한 모임 공간 지원
   - (멘토단 운영) 예비 공개SW 개발자의 공개SW 개발 기여 및 최신 기술 습득 등 역량 강화를 위한 리더급 개발자의 멘토 활동 지원",,https://www.oss.kr/,0,0,교육,미래역량강화
대학창업펀드 조성,초기 대학 창업기업에 자금을 공급하여 대학창업기업의 사업화 기반 마련 및 경쟁력 있는 기업으로 성장 지원,"정부는 벤처투자 모태조합(모펀드)을 통해 대학창업펀드(자펀드)에 출자, 대학 등은 약정비율에 따라 출자하여 펀드를 조성하여 대학의 우수 창업기업에 중점투자",,http://install.kvic.or.kr,0,0,일자리,창업
현장실습 지원,"대학(원)생을 대상으로 동·하계, 학기·학년제, 석·박사 학위연수 등 장·단기 현장실습 교육을 지원하여 청년식품 인력 육성",참여학생 학습단계 및 니즈에 따라 다양한 현장실습 교육을 지원,,www.foodpolis.kr,0,0,"일자리,교육","취업,미래역량강화"
청년식품 창업성장 지원,"식품분야 청년 예비·초기 창업자를 대상으로 전문교육, 시제품 제작 기회를 제공하여 창업 생태계 활성화 및 기술사업화 촉진","식품분야 청년 예비·초기 창업자 대상 전문교육, 시제품 제작, 투자유치 및 판로 등 창업·사업화 지원",20250101 ~ 20250630,,19,39,일자리,취업
청년창업농장학금지원,졸업 후 농식품분야 취·창업 희망 대학생에게 장학금을 지원하여 농업분야 우수 후계인력 육성,"ㅇ졸업 후 농림축산식품분야 취·창업을 조건으로 대학생에게 장학금 지원
ㅇ학기당 등록금 전액 + 학업장려금 250만원
ㅇ(의무종사) 졸업 후 수혜횟수(학기)×6개월 동안 농림축산식품산업 분야에 취업 또는 창업 유지",20250623 ~ 20250708,www.rhof.or.kr,0,39,"일자리,교육","취업,미래역량강화"
선임대후매도,농지 구입자금이 부족한 청년농에게 농지 확보 기회 제공,농지 확보에 어려움을 겪고 있는 청년농을 대상으로 농지 수요에 맞는 농지 매입 후 청년농에게 매도를 목적으로 조건부 임대(최장 30년)하여 농지 매입대금 완납 시 소유권 이전,,www.fbo.or.kr,18,39,일자리,창업
공공임대용 농지매입,농지은행이 농지를 매입하여 청년농 등에 낮은 임대료로 임대,"고령, 은퇴농 등의 농지를 농어촌공사가 매입하여 영농활동을 하려고 하는 청년농 등에게 장기 임대 지원",,www.fbo.or.kr,0,64,일자리,창업
청년귀농 장기교육,영농경험이 부족한 청년층의 안정적인 정착지원을 위해 실습중심의 장기체류형 귀농교육지원,"만 40세 미만의 청년 귀농희망자를 대상으로 청년특화 실전형 귀농교육과정 개발, 운영",,http://greendaero.go.kr,0,40,교육,미래역량강화
직업계고 채용연계형 직무교육과정 지원,고졸 구직자 선호 직무와 기업이 기대하는 고졸 적합직무의 균형을 갖춘 내실있는 직무교육을 통해 구인난·구직난 동시 해소,"- 일자리 중심 특화교육과정 개발 · 운영으로 실무 역량 제고
- 참여기업 대상 채용 연계
- 기업현장교육과정 개발 및 제공을 통해 전문직업인으로의 성장 지원 등",20250514 ~ 20250620,https://hi.korchamhrd.net/,17,20,일자리,취업
